date,Rates,Credit spread,Structured spread,Equity,Property,Gold
2007-11-30,-5.5662,-5.0451,-1.6998,0.1164,-0.1015,0.006
2007-12-31,-5.6794,-5.0974,-1.6008,0.1091,-0.1484,0.0147
2008-01-31,-5.6842,-5.2203,-1.71,0.104,-0.1529,0.0194
2008-02-29,-5.5415,-4.9444,-1.6082,0.1015,-0.099,0.0171
2008-03-31,-5.198,-4.9354,-1.4503,0.1138,-0.0593,0.0134
2008-04-30,-5.3568,-4.8168,-1.3544,0.1092,-0.0734,0.0122
2008-05-31,-5.3471,-4.875,-1.2772,0.1109,-0.0774,0.0108
2008-06-30,-5.3024,-4.9584,-1.2819,0.1102,-0.0657,0.0107
2008-07-31,-5.2046,-5.2664,-1.1998,0.1134,-0.0788,0.0127
2008-08-31,-4.9948,-5.194,-1.0142,0.1209,-0.0832,0.0116
2008-09-30,-5.3801,-3.798,-0.1486,0.1175,-0.1768,0.0121
2008-10-31,-5.4243,-3.6688,-0.2922,0.1171,-0.1683,0.0097
2008-11-30,-5.4124,-3.7644,-0.1937,0.1177,-0.1493,0.0106
2008-12-31,-5.0977,-2.9539,-0.49,0.1083,-0.1949,-0.0031
2009-01-31,-5.0373,-2.8587,-0.4089,0.1227,-0.2061,-0.0054
2009-02-28,-5.0416,-2.7402,-0.4473,0.1244,-0.1968,-0.0083
2009-03-31,-4.9983,-3.6634,-0.0512,0.1125,-0.1333,0.0004
2009-04-30,-4.9352,-4.0192,0.2073,0.1249,-0.1197,0.0067
2009-05-31,-4.9627,-3.9692,0.1733,0.1256,-0.1272,0.0063
2009-06-30,-4.9351,-4.0127,0.214,0.1282,-0.1335,0.006
2009-07-31,-4.9404,-3.9032,0.136,0.1272,-0.1515,0.0066
2009-08-31,-4.6555,-3.9468,0.0632,0.1027,-0.0984,0.0127
2009-09-30,-4.654,-3.8697,0.0288,0.1024,-0.1,0.012
2009-10-31,-4.6441,-3.9413,-0.0445,0.0953,-0.1243,0.0071
2009-11-30,-4.7945,-4.1223,0.0867,0.1004,-0.0962,0.0079
2009-12-31,-4.7855,-4.1155,0.0741,0.0999,-0.1024,0.0075
2010-01-31,-4.7109,-4.3779,0.1353,0.0965,-0.1323,0.0036
2010-02-28,-4.9273,-3.6785,-0.1309,0.1045,-0.1292,0.0138
2010-03-31,-5.0307,-3.2098,-0.4363,0.0932,-0.1111,0.0183
2010-04-30,-4.999,-3.2258,-0.4121,0.0934,-0.1056,0.0185
2010-05-31,-4.8266,-2.8676,-0.4469,0.0918,-0.0328,0.0299
2010-06-30,-4.8744,-3.0295,-0.4437,0.096,-0.0785,0.0316
2010-07-31,-5.1768,-2.9879,-0.3958,0.1014,-0.0142,0.0316
2010-08-31,-5.3067,-3.1124,-0.5003,0.1072,-0.1131,0.0365
2010-09-30,-5.2362,-3.1096,-0.4515,0.1065,-0.0985,0.0334
2010-10-31,-5.6184,-2.5889,-0.5742,0.1107,-0.0305,0.0352
2010-11-30,-5.6647,-2.3299,-0.652,0.1103,0.0035,0.0366
2010-12-31,-5.7334,-2.3049,-0.6979,0.1108,-0.0152,0.0361
2011-01-31,-5.8453,-2.2378,-0.7499,0.1125,-0.0273,0.034
2011-02-28,-5.563,-3.1036,-0.4782,0.1139,-0.1461,0.0267
2011-03-31,-5.6973,-3.3309,-0.4048,0.1151,-0.1384,0.025
2011-04-30,-5.8295,-3.3193,-0.4482,0.1155,-0.1478,0.0262
2011-05-31,-5.8208,-3.2763,-0.4635,0.1149,-0.1464,0.0286
2011-06-30,-5.8659,-3.4274,-0.3855,0.1173,-0.1446,0.0239
2011-07-31,-5.8699,-3.5392,-0.3509,0.118,-0.1508,0.0233
2011-08-31,-6.1029,-3.611,-0.392,0.1134,-0.1469,0.0205
2011-09-30,-6.0652,-3.6783,-0.3803,0.1139,-0.1554,0.021
2011-10-31,-6.0869,-3.6022,-0.3831,0.1169,-0.1741,0.0257
2011-11-30,-6.086,-3.5982,-0.3975,0.1162,-0.1722,0.0263
2011-12-31,-6.1465,-3.7096,-0.3899,0.1192,-0.1527,0.0229
2012-01-31,-6.1524,-3.5685,-0.4121,0.1189,-0.1623,0.0226
2012-02-29,-5.9867,-2.2601,0.2725,0.1106,-0.1089,0.0267
2012-03-31,-5.8276,-1.8615,-0.0474,0.1169,-0.136,0.028
2012-04-30,-6.0155,-2.0612,-0.2755,0.1091,-0.1173,0.0177
2012-05-31,-6.2639,-1.6784,-0.0837,0.1059,-0.0374,0.0115
2012-06-30,-6.2864,-1.6847,-0.1731,0.1059,-0.0294,0.0113
2012-07-31,-6.3199,-1.6686,-0.2577,0.108,-0.0508,0.0145
2012-08-31,-6.1599,-1.3999,-0.1692,0.1136,-0.0455,0.0102
2012-09-30,-6.1684,-0.9751,-0.3675,0.1161,-0.0574,0.0102
2012-10-31,-6.1009,-1.3457,-0.2934,0.1147,-0.0611,0.0131
2012-11-30,-6.0514,-0.9972,-0.4314,0.1133,-0.0729,0.0102
2012-12-31,-6.0324,-0.9668,-0.1713,0.1158,-0.0247,0.0232
2013-01-31,-5.9956,-1.4932,0.147,0.1148,-0.0114,0.0288
2013-02-28,-6.1702,-2.3111,0.0798,0.1101,-0.0283,0.0223
2013-03-31,-6.3056,-2.8755,0.9317,0.1249,-0.0187,0.0266
2013-04-30,-6.4579,-3.2268,0.9242,0.1238,-0.042,0.0176
2013-05-31,-6.395,-3.1096,0.8958,0.1256,-0.0456,0.0174
2013-06-30,-6.4151,-2.9077,0.7748,0.1262,-0.0544,0.017
2013-07-31,-6.223,-3.2989,0.5586,0.1222,-0.0813,0.0162
2013-08-31,-6.3543,-3.2564,0.1487,0.1119,-0.1131,0.0102
2013-09-30,-6.2643,-2.8044,0.1504,0.1095,-0.1135,0.0064
2013-10-31,-6.0585,-2.3921,-0.158,0.11,-0.119,0.0056
2013-11-30,-6.0538,-2.7222,-0.018,0.111,-0.1551,0.0058
2013-12-31,-6.0468,-2.8015,-0.0803,0.1102,-0.1875,0.0028
2014-01-31,-5.9789,-2.2482,-0.6082,0.1043,-0.1892,-0.0024
2014-02-28,-6.1633,-2.2088,-0.8991,0.1063,-0.1327,0.0007
2014-03-31,-6.3074,-1.8369,-1.1026,0.0983,-0.1643,-0.0069
2014-04-30,-6.3558,-1.8714,-0.9274,0.1027,-0.1634,-0.0043
2014-05-31,-6.4112,-1.654,-0.668,0.1044,-0.1423,-0.0054
2014-06-30,-6.4369,-1.3661,-0.4994,0.102,-0.1246,-0.0038
2014-07-31,-6.4976,-0.7883,-0.5452,0.098,-0.1368,-0.0025
2014-08-31,-6.4965,-0.7089,-0.4955,0.0988,-0.1185,-0.0002
2014-09-30,-6.73,-0.5285,-0.4304,0.096,-0.1466,-0.0023
2014-10-31,-6.6924,-0.3645,-0.5093,0.097,-0.1185,-0.0039
2014-11-30,-6.6699,-0.2412,-0.4967,0.0976,-0.1202,-0.0043
2014-12-31,-6.6905,-0.3488,-0.3383,0.1008,-0.1243,-0.0056
2015-01-31,-6.6406,-0.591,-0.4825,0.1017,-0.1261,-0.0058
2015-02-28,-6.8352,-0.8185,-0.1053,0.1038,-0.1237,-0.0044
2015-03-31,-6.9331,-0.977,-0.291,0.1047,-0.0904,-0.0032
2015-04-30,-6.9353,-0.9409,-0.2439,0.1037,-0.1072,-0.004
2015-05-31,-6.495,-0.5738,-0.8218,0.1036,-0.1228,-0.003
2015-06-30,-6.3721,-0.7127,-1.1676,0.1036,-0.1033,-0.0031
2015-07-31,-6.0338,-1.5628,-1.3749,0.1145,0.0197,-0.0029
2015-08-31,-5.8517,-1.5383,-1.679,0.112,0.0127,-0.0092
2015-09-30,-5.9547,-1.278,-1.386,0.1055,0.0654,-0.0184
2015-10-31,-5.792,-1.8264,-1.7757,0.1141,0.0365,-0.0125
2015-11-30,-5.7519,-1.8655,-1.801,0.1144,0.0293,-0.0131
2015-12-31,-5.5486,-1.8174,-1.7284,0.1153,-0.0444,-0.0196
2016-01-31,-5.6848,-1.5293,-1.894,0.1184,-0.0755,-0.0174
2016-02-29,-5.5867,-1.4032,-2.1263,0.1185,-0.0675,-0.0217
2016-03-31,-5.457,-1.0074,-2.1255,0.1197,-0.0281,-0.0223
2016-04-30,-5.4207,-0.6275,-2.0659,0.1167,-0.0322,-0.0205
2016-05-31,-5.4576,-0.8781,-2.0363,0.1183,-0.0679,-0.0266
2016-06-30,-5.5177,-1.1581,-1.711,0.1216,0.0011,-0.0222
2016-07-31,-5.5119,-1.1176,-1.8532,0.1183,-0.0443,-0.0202
2016-08-31,-5.2881,-1.1815,-1.6102,0.1203,-0.0236,-0.0218
2016-09-30,-5.5197,-1.4358,-1.4125,0.121,0.007,-0.0229
2016-10-31,-5.3564,-1.6721,-1.6359,0.1308,-0.0202,-0.0239
2016-11-30,-5.2795,-1.3715,-1.5436,0.1266,0.018,-0.0161
2016-12-31,-5.6306,-1.8552,-1.4239,0.1272,0.0852,-0.0163
2017-01-31,-5.3675,-1.793,-0.9436,0.1255,0.069,-0.016
2017-02-28,-5.4163,-1.775,-0.9907,0.1268,0.0722,-0.015
2017-03-31,-5.4766,-1.8533,-1.0188,0.1283,0.0661,-0.0153
2017-04-30,-5.4285,-1.9068,-0.9879,0.1247,0.0703,-0.0157
2017-05-31,-5.3841,-1.9352,-1.0601,0.1248,0.0683,-0.0145
2017-06-30,-5.5808,-1.9691,-1.5923,0.1306,0.0435,-0.0108
2017-07-31,-5.2938,-2.3886,-0.613,0.1291,0.0843,-0.0214
2017-08-31,-5.3897,-2.5186,-0.8899,0.1343,0.049,-0.0257
2017-09-30,-5.494,-2.7061,-0.849,0.1342,0.0524,-0.018
2017-10-31,-5.3033,-2.6505,-0.9281,0.1369,0.0552,-0.0188
2017-11-30,-5.3199,-2.6527,-1.3795,0.1366,0.0517,-0.0116
2017-12-31,-5.3009,-2.558,-1.2162,0.1374,0.0578,-0.0117
2018-01-31,-5.3196,-2.2794,-1.5393,0.1412,0.0275,-0.009
2018-02-28,-5.1953,-2.3015,-0.74,0.1339,0.1069,-0.0058
2018-03-31,-5.2333,-2.2985,-0.9332,0.1351,0.096,-0.0072
2018-04-30,-5.239,-2.2963,-0.925,0.1351,0.0963,-0.0072
2018-05-31,-5.2119,-2.6851,-0.7562,0.134,0.0998,-0.006
2018-06-30,-5.1462,-2.6019,-0.4776,0.1337,0.1053,-0.0069
2018-07-31,-5.3533,-2.3544,-0.6255,0.1338,0.0738,-0.007
2018-08-31,-5.3963,-2.1435,-0.5603,0.146,0.044,0.0037
2018-09-30,-5.3561,-2.3629,-0.662,0.1466,0.0389,0.006
2018-10-31,-5.4321,-1.926,-0.2943,0.1362,0.0736,-0.0042
2018-11-30,-5.4638,-1.8654,-0.2587,0.1355,0.0769,-0.0047
2018-12-31,-5.5385,-1.7235,-0.4942,0.1359,0.0871,-0.0047
2019-01-31,-5.4825,-1.9085,-0.3121,0.1328,0.0984,-0.0072
2019-02-28,-5.4073,-1.928,0.0568,0.1384,0.0802,0.0018
2019-03-31,-5.384,-2.4424,0.1125,0.1328,0.0448,0.0088
2019-04-30,-5.3558,-3.2315,-0.0867,0.1382,0.0555,0.0081
2019-05-31,-5.2768,-3.0171,-0.0856,0.1354,0.073,0.0093
2019-06-30,-5.1403,-3.6078,0.1791,0.1492,0.0942,0.0171
2019-07-31,-5.0152,-3.014,0.0505,0.1666,0.2191,0.0138
2019-08-31,-5.1932,-2.7616,0.1361,0.1604,0.1946,0.0136
2019-09-30,-5.2784,-2.2273,0.2088,0.1587,0.1922,0.012
2019-10-31,-5.2572,-2.347,0.1939,0.1617,0.1945,0.0122
2019-11-30,-5.2327,-2.5326,0.1849,0.1651,0.1746,0.01
2019-12-31,-5.3793,-1.9315,-0.4723,0.1538,-0.0023,0.029
2020-01-31,-5.5846,-1.5982,-0.9183,0.1485,-0.0254,0.026
2020-02-29,-5.5577,-1.2276,-0.7444,0.1458,-0.0511,0.0266
2020-03-31,-5.5381,-1.5833,-0.649,0.1486,-0.0661,0.0267
2020-04-30,-5.6175,-2.2858,-0.3119,0.15,-0.0977,0.0276
2020-05-31,-5.5792,-2.7548,-0.0483,0.1362,-0.0778,0.019
2020-06-30,-5.7599,-2.3509,-0.411,0.1218,-0.0776,0.0104
2020-07-31,-5.7594,-1.2312,-0.9745,0.1209,-0.0127,0.0132
2020-08-31,-5.5145,-0.9283,-1.0231,0.1184,0.0378,0.0179
2020-09-30,-5.4767,-0.744,-1.0982,0.119,0.0488,0.0181
2020-10-31,-5.6968,-0.828,-1.1158,0.1175,0.0487,0.0179
2020-11-30,-5.406,-1.1027,-0.9347,0.1173,0.0183,0.0134
2020-12-31,-5.4269,-1.5096,-0.7427,0.1187,-0.0151,0.0104
2021-01-31,-5.5751,-2.0732,-0.4594,0.1187,-0.0292,0.0113
2021-02-28,-5.5793,-1.8252,-0.6773,0.1188,-0.0598,0.0094
2021-03-31,-5.6299,-2.0693,-0.4888,0.1201,-0.0388,0.0054
2021-04-30,-5.6865,-2.4891,-0.3117,0.1192,-0.0629,0.0041
2021-05-31,-5.4714,-2.594,-0.0397,0.1263,-0.0074,0.0059
2021-06-30,-5.5398,-2.6966,-0.0313,0.1258,-0.0204,0.0081
2021-07-31,-5.511,-2.6684,-0.0451,0.1254,-0.0224,0.0054
2021-08-31,-5.4471,-3.3259,0.2758,0.1224,-0.0584,0.0059
2021-09-30,-5.5024,-3.1002,0.1203,0.1219,-0.0663,0.0075
2021-10-31,-5.5467,-3.2302,0.2081,0.1224,-0.061,0.0076
2021-11-30,-5.4757,-3.2619,0.1956,0.1206,-0.0792,0.0099
2021-12-31,-5.4685,-3.2269,0.1615,0.1204,-0.0858,0.0102
2022-01-31,-5.586,-3.599,0.3972,0.1216,-0.0711,0.0115
2022-02-28,-5.7667,-3.0913,0.0869,0.1244,-0.0644,0.0124
2022-03-31,-5.8311,-3.2567,0.1636,0.1261,-0.0797,0.0094
2022-04-30,-5.5437,-2.7614,-0.1066,0.1235,-0.0992,0.0105
2022-05-31,-5.5484,-2.7113,-0.1519,0.1241,-0.1089,0.0097
2022-06-30,-5.6544,-2.7011,-0.219,0.1216,-0.1127,0.0028
2022-07-31,-5.6861,-2.5791,-0.2857,0.124,-0.117,0.0011
2022-08-31,-5.6962,-2.6476,-0.237,0.1241,-0.1136,0.0022
2022-09-30,-5.611,-2.9077,-0.1352,0.1214,-0.1351,0.0042
2022-10-31,-5.5644,-3.1597,0.0134,0.1207,-0.1374,0.0031
2022-11-30,-5.57,-3.1909,0.0861,0.1213,-0.1159,0.004
2022-12-31,-5.431,-3.0564,0.2573,0.1272,-0.0413,-0.0047
2023-01-31,-5.3623,-3.2433,0.6184,0.1311,0.0409,-0.0055
2023-02-28,-5.4442,-3.7694,0.703,0.1254,0.0328,-0.0022
2023-03-31,-5.4372,-2.9106,1.248,0.1258,0.0162,-0.0025
2023-04-30,-5.4207,-2.8795,1.2458,0.1219,0.0066,0.0015
2023-05-31,-5.4046,-2.9852,1.509,0.1207,0.04,-0.0009
2023-06-30,-5.3952,-3.2766,1.0097,0.1299,-0.0044,0.0024
2023-07-31,-5.428,-2.8416,0.5984,0.1379,-0.0808,0.0041
2023-08-31,-5.4783,-2.8943,0.5753,0.1396,-0.0899,0.0007
2023-09-30,-5.4309,-2.8891,0.6766,0.1377,-0.0993,-0.0023
2023-10-31,-5.3629,-2.9525,0.9275,0.1298,-0.1043,-0.0013
2023-11-30,-5.4391,-2.9219,1.032,0.1283,-0.0862,0.0011
2023-12-31,-5.4102,-2.8163,1.232,0.1256,-0.0456,-0.0046
2024-01-31,-5.3757,-2.7716,1.0444,0.1287,-0.1162,-0.0069
2024-02-29,-5.4127,-2.8673,1.2052,0.1298,-0.0545,-0.0102
2024-03-31,-5.332,-2.9002,0.8759,0.13,-0.072,-0.0049
2024-04-30,-5.2091,-2.4975,1.0496,0.1265,-0.0376,-0.0009
2024-05-31,-5.2641,-2.7497,0.7627,0.1091,-0.0508,-0.0067
2024-06-30,-5.2945,-3.0294,0.5651,0.1021,-0.0254,-0.0027
2024-07-31,-5.2999,-2.9654,0.3526,0.1055,-0.0563,-0.0026
2024-08-31,-5.3961,-2.7321,-0.1022,0.1116,-0.1047,0.0009
2024-09-30,-5.5823,-3.267,-0.2963,0.1143,-0.1063,-0.0015
2024-10-31,-5.5725,-3.1851,-0.5425,0.1112,-0.1183,-0.0028
2024-11-30,-5.4756,-3.3377,-0.5613,0.1121,-0.0832,-0.0034
2024-12-31,-5.4305,-3.2417,-0.3893,0.1121,-0.0668,-0.0033
